"","Ciudad Huexotzinco","Ocotepec","Almoyahuacan","Tepetzinco","Coyotzinco","Zacapechpan","Xopanac Inn","Tocuillan","Atenco South","Mextla","Tepulequique","Acxotlan Tecpan","Zecalacoayan Aytec","Tepoliuhcan","Tlatenco","Temaxcalac","Moyotzingo","Coxtocan","Mendocinas Tetla","Atzompan","Malinaltepec","Chiauhtzinco Plains","Calpultitlan","Atenco North","Xalmimilolco","Atlicholoayan","Zacatepec","Tlachichilco","Atexcac","Tlayacaque","Xaltepetlapan","Tepalcatepec","Ahuatepec","Nepopohualco","Coatlichan","Tlalnahuac","San Salvador","Tenexcalco","Tlallancallecan","Apapaztlan","Amaxac","Autliztacan","Teotlaltzinco","Hueyacatitla","Aztatoacan","Atlacintla","Quetzallan","Tozcoque","Hueyatzacoalco","Tepatlaxco","Tzayanalquilocan","Atlixco","Quimichallan","Cuaco","Tianguizmanalco","Tepetlixpan","Tepenacaztla","Chalma","Acxotlan Acatocha","Analco","Chiatlan","Coyula","Tenextepec","Chilhuacan"
"Acxotlan Tecpan",3.54602127911836,5.72670174328976,3.81990549268176,2.6893068278899,4.49870391510213,2.33930708413388,4.76555241808016,3.23555753838215,7.56886047079357,6.44807194889638,9.36224859733441,0,6.10977095186492,4.2887381132444,6.13320183895659,13.7990981932773,10.4526198809795,8.61779282208343,8.8205817953906,9.52557759212163,12.3706797702013,6.60704478214746,7.13131729810489,9.73982044401691,10.3641152918135,7.35951424430184,6.95176970425248,6.78188812180344,5.37067894832108,11.2553911618359,1.66271790949278,8.18200854764921,3.98270100625866,3.63392775101048,17.7297461339963,20.0031149061891,15.3532521983563,20.038819835408,20.4650395706351,26.8494339291129,22.8973439080412,29.5986005934124,11.6224270974501,16.3545164983567,14.0544402343856,12.299504289152,11.2554342191319,11.7603878229571,14.4183717197113,17.4717388629593,16.6984329757912,20.8561291647742,23.58607894507,26.7607563171145,21.6187326460579,25.4819649679927,24.573774794237,30.2980329876512,27.0905858159254,28.6269699861962,32.1125603591948,29.0197857750033,33.075374348033,31.3876297939362
"Zecalacoayan Aytec",8.85762108065317,3.36026888591402,3.52820857361865,3.68893602135067,5.02150519468133,6.29536349858802,8.10581526290458,5.76324882609066,12.7452881749391,10.5094139223563,5.61571203994684,6.10977095186492,0,2.64628565598183,2.18940397776473,11.9540629195341,9.99396821828879,6.43165571718931,3.45824087391448,4.07168377967267,6.27723923519386,3.44599715314277,9.8411199176261,13.8185794836037,12.6510127143728,8.14898000831347,12.9477321887033,5.71145566456231,6.05428913839783,8.65973883455882,7.34122703091898,14.1826671574004,10.080345059827,4.21710560713986,12.1431085486297,13.9431157672758,9.62721759537828,14.3572186770257,15.8488520960999,20.8342055695213,17.4977175684896,23.9449332078766,5.77726905544346,10.2467500912606,9.3694547187814,7.58422761958376,6.45350841392285,8.7974943090673,11.034926218685,14.036629770849,12.1532975592584,24.6497900392163,26.9014639863599,29.7772738743098,25.9070200143044,30.0135265202834,29.5127619604047,35.1265051746568,32.3324027497289,34.1368196508016,36.5349481986394,32.6151189480185,36.9539691078076,36.6440056330067
"Tepoliuhcan",6.41652749269762,4.75340139566926,3.69724687782193,1.60379893973391,2.45466599612625,3.80127907568914,5.45996327271688,3.13710204665759,10.1823176360828,7.86636596524231,7.88258409079601,4.2887381132444,2.64628565598183,0,4.12926101360979,10.7589682257796,8.15020127612418,5.1513828938186,4.56102133843252,6.71034633295862,8.65736950596687,2.4806943228941,7.24407958132666,11.1729406452977,10.1627582232466,5.8181340374937,10.6992343602832,6.94647606718588,6.56758581234202,10.6816685368439,5.83264904762205,12.4479292436544,8.19233135695151,4.2405016713335,13.4448638242613,15.9120896972058,11.0933722377109,15.7603933980727,16.3219474996132,22.6860357180016,18.6134688107264,25.3120740816586,7.43313695379007,12.4270010002116,9.84946898982631,8.06939480145765,6.9990419294469,8.0911342007462,10.6401832080034,13.7212597821718,12.5507429430335,24.4442514348568,26.9459561281637,29.9783317615203,25.4449740459184,29.4267279804845,28.6742683959553,34.3688542762121,31.29187217993,32.8916454539993,36.0264828605622,32.5445058927569,36.7482580644224,35.597061170738
"Tlatenco",9.40919474349523,1.32152316479605,2.51350296751944,4.43417343143543,6.56916684549439,7.08128095559961,9.28013389494183,6.88207185428461,13.4478765697554,11.5902959426184,3.76177770373581,6.13320183895659,2.18940397776473,4.12926101360979,0,14.1343174720424,12.0406349506406,8.57955426372805,5.43051874999199,3.43201381024293,6.78415850721467,5.57469502283309,11.2800523212551,14.9750316759901,14.2764610299721,9.93536604741941,13.0703299560848,3.57965608732372,4.24492638001187,6.60454754873568,6.93398263077669,13.6693761817273,9.86183872515505,3.07503690200009,13.6241910219257,14.7833624202661,11.0494952390767,15.7267715968994,17.7328278935775,21.7210208171278,19.0315421903962,25.2526255289631,7.23127787787287,10.8983790990422,11.3259034923301,9.57538401180495,8.45578584969689,10.9845373024489,13.187505674172,16.1637490100954,14.1005459430531,22.8789503916465,25.0055273397491,27.8108858288552,24.2684940625117,28.431112374363,28.0917397868041,33.6334086614125,31.0417014975913,32.9959494441348,34.888419172915,30.7553688851654,35.1484309174975,35.3440001488293
"Temaxcalac",13.1082691339182,15.1756645756927,14.4490393251555,11.8713985143622,9.33499227162888,11.6977237008336,10.3171610218731,10.6105818197141,14.2146450157523,11.2654350549824,17.3404228694585,13.7990981932773,11.9540629195341,10.7589682257796,14.1343174720424,0,3.81635483743075,5.63199715990628,9.49189146719717,14.8238630815555,13.6837211509518,8.60595264766991,9.04856041640551,12.2493761680354,8.35763025070252,6.89292767011517,16.9861399401558,17.5137229312579,17.3237981428896,20.5074039161335,15.4262036177824,20.3892132798637,16.4565429648806,14.9976153837106,11.4674107535489,16.2361660422399,10.9730700605193,13.3795824563791,9.83188057286207,21.0736596006233,14.1983597823001,20.9657695879587,10.5326853407033,14.9302753587993,6.90772315518283,7.01660399085239,7.44874871942118,3.51694918858132,3.55850237220207,5.04223856909829,7.28653902858471,34.650866032475,37.3699748308245,40.5070944243827,35.3173434459978,39.0423118793372,37.850906963683,43.5995842660147,39.9749596584833,41.0170036359825,45.6816152224844,42.8171673995422,46.8341107580096,44.1751223860095
"Moyotzingo",9.37009313209514,12.8676537351996,11.7823953362151,8.9191586359167,6.20378587076093,8.21647509771435,6.57466581168207,7.21708946749358,10.4333313712727,7.4562468530499,15.6058139140048,10.4526198809795,9.99396821828879,8.15020127612418,12.0406349506406,3.81635483743075,0,3.82666129529363,8.53538285749225,13.5467452420453,13.4303071132473,6.57352605895163,5.24053703270849,8.72229742559408,5.10549740895758,3.1958141176728,13.1712010753214,15.0966587132975,14.5933309571449,18.6328756531756,12.0166599100814,16.6188621815076,12.7739078664666,12.2360655689446,13.4411721954547,17.7749926009801,12.2451429997611,15.6234614734309,13.1038531281692,23.38226976947,17.0868760828271,24.008386516195,10.5459852364181,15.6613159866517,8.57701071762443,7.83993638057933,7.70750421320828,4.37004718603242,6.30505598006026,8.64675651774117,9.96885787454032,31.18930508852,34.0068414213103,37.2056879509942,31.7393084608638,35.3905883522654,34.1271649528744,39.8723452570074,36.1952958789266,37.2070713205394,42.0240960362702,39.3587658944187,43.2921522341027,40.3834510094526
"Coxtocan",8.91325600524025,9.56766145087474,8.82675513190671,6.38609466785642,4.16661933431186,6.84825677826075,6.43367124430301,5.69151518598214,11.3696689222115,8.34424344704047,11.9742829927484,8.61779282208343,6.43165571718931,5.1513828938186,8.57955426372805,5.63199715990628,3.82666129529363,0,4.71572744081433,9.76162654771102,9.67278928437628,3.00691458414482,6.49136906295654,10.7529174696428,7.99673158506995,3.75042218480844,13.2798236990429,11.8937213632859,11.7024035686706,15.0796536332775,10.2803184380092,16.0726565954264,11.8659122988242,9.39042278530963,10.9766009201607,14.7801364634731,9.27723992779653,13.3018315566832,12.2351601486563,20.9049420952654,15.4363670081898,22.3823829100975,6.93595484122099,12.2281643258683,6.34365708292232,4.99676295528897,4.4553679026802,3.1508558388877,5.82347715862817,8.85740670221154,8.58082232114751,29.3854944667142,31.9879406017948,35.0655290871047,30.2293465890238,34.0971724126842,33.1277882950373,38.866177957952,35.5113378195902,36.8414913897083,40.7295151399998,37.5257025228331,41.6505229309277,39.7807702553531
"Mendocinas Tetla",10.7805920259647,6.71735037216946,6.94648009393538,6.13590553147673,5.89631858046362,8.18697552142753,9.17223553900254,7.26408660182886,14.2320990556073,11.5240838665993,7.99323576152356,8.8205817953906,3.45824087391448,4.56102133843252,5.43051874999199,9.49189146719717,8.53538285749225,4.71572744081433,0,5.33358646464422,5.05051525523998,2.9184554239281,10.217972327661,14.5131651196045,12.4035883825785,7.8244391253985,15.1704960997314,9.00628310687632,9.504695759772,11.1919846600094,10.2891654286411,16.9985545787002,12.7521056606554,7.63385208722923,8.92839975531843,11.454400622951,6.5349448158093,11.2221451148119,12.3906263877783,18.1544074655023,14.1913148196767,20.7963745126302,2.94028037799941,8.21381979194167,5.91977016900579,4.14940912416424,3.02587255817892,6.04439301300788,7.91088677695176,10.8010620419549,8.70288892563513,28.1066049821717,30.3525442122804,33.2083285000455,29.3413317413892,33.4290725589442,32.8631586966905,38.5046528372227,35.6099687445325,37.3163736776023,39.9672218069339,36.0716094242692,40.4119496210692,39.9215499088815
"Atzompan",12.6709949212542,4.32428650735272,5.93468546198245,7.52938517550985,9.08725967619364,10.2080704240177,12.1603946571905,9.79261477631579,16.6578068038888,14.5522312750103,3.04537875653102,9.52557759212163,4.07168377967267,6.71034633295862,3.43201381024293,14.8238630815555,13.5467452420453,9.76162654771102,5.33358646464422,0,3.84959121977818,7.06365844069045,13.9061620657896,17.8807895587714,16.6534150249201,12.0886290121037,16.4759095088004,5.62533848386643,7.0168647672259,6.12436908560378,10.3646674830708,17.0663759590182,13.2937334812542,6.44973871585059,11.5123113445679,11.8139948139044,8.95801514921148,13.3716240001277,16.3611161265278,18.7150688101334,16.8735946764372,22.6767246959476,5.5842277559155,7.85216898231252,10.4106876842427,8.89971562390467,7.9264056850565,11.3726917046696,13.0616356634489,15.7673543796582,13.0228762092423,25.1195737747692,26.944502238726,29.5295637524074,26.7356212350081,30.9608392005545,30.8409508838907,36.2688280482207,33.9248650844481,36.0139771907091,37.2879986665632,32.7459248543748,37.2425444631517,38.2049958894139
"Malinaltepec",15.0591261377408,7.92952098346128,9.22968838458893,9.94188646372595,10.6084089942784,12.453476278625,13.9033570634442,11.7425331273024,18.8172307743337,16.309302626163,6.69235471090359,12.3706797702013,6.27723923519386,8.65736950596687,6.78415850721467,13.6837211509518,13.4303071132473,9.67278928437628,5.05051525523998,3.84959121977818,0,7.83257459133769,15.1835428467479,19.432271566756,17.453856819676,12.8674226526448,19.2218792235348,9.465816604663,10.7710561532936,9.4165206000047,13.4955640533794,20.3285832581126,16.3184413303364,9.84166072577473,7.87843603750676,8.02892466332273,5.43050666955646,9.59027557401761,13.1345055631401,14.9604683195659,13.1466647949994,18.8286702258574,3.16901105345252,4.11447765724458,7.90753131596407,6.85565323168391,6.23773878162174,10.1857111331484,11.1603082932595,13.4320143625072,10.1669190434643,28.9628270188661,30.7443433101337,33.2727848588473,30.5844049436189,34.8075439155393,34.6583791112202,40.1071568260121,37.7058091299616,39.7357170394807,41.1370079057128,36.5493420120377,41.0614753052113,41.9948946372283
"Chiauhtzinco Plains",8.02721970655605,6.57060506436689,5.96958867832879,4.00788147794629,3.01603614909472,5.5052562973297,6.26128524859378,4.48072181593733,11.3387836778267,8.60567454486734,9.03924253722655,6.60704478214746,3.44599715314277,2.4806943228941,5.57469502283309,8.60595264766991,6.57352605895163,3.00691458414482,2.9184554239281,7.06365844069045,7.83257459133769,0,7.35177278183263,11.6207654403394,9.74406594126896,5.12948164080362,12.4676878952399,8.90861724183803,8.82855634150924,12.1057168261511,8.21757979831268,14.6320060313244,10.3470511437211,6.58088360922728,11.3368000348566,14.2925063283498,9.14098503507265,13.6834585229011,13.8796876170394,20.8849708222746,16.3604137585606,23.1533898044835,5.81702002440006,11.1315115227002,7.44739882163138,5.69987364417044,4.68658047667267,5.69077759564052,8.18483825888714,11.2630136946288,10.1086032181986,26.9187960215821,29.3962537471281,32.4047887846254,27.9248612119139,31.8997006617649,31.117574546139,36.8214801640299,33.6905621083201,35.2266461568234,38.5030508307602,35.0108255984724,39.2253323793456,37.9904711725732
"Calpultitlan",4.71848255378987,11.5966274789501,9.94799472910649,6.99011279329976,4.8197284034319,4.8683912571907,2.36579799331446,4.50947258344734,5.21967535753758,2.2168787021235,15.0334016677666,7.13131729810489,9.8411199176261,7.24407958132666,11.2800523212551,9.04856041640551,5.24053703270849,6.49136906295654,10.217972327661,13.9061620657896,15.1835428467479,7.35177278183263,0,4.32386846242889,3.2381089843113,2.76199716710821,7.99076594859809,13.3740376969717,12.2963356699876,17.5963126142489,8.32697433011992,11.6311380151522,8.17063980311563,10.1335066107497,17.4610268241726,21.1895659013503,15.7338293762417,19.7758203691852,18.0846154001783,27.3962473569921,21.7301573473908,28.6929557401887,12.9774709088247,18.3522063632063,12.7455729695571,11.4873892646178,10.9001010757808,8.87402143230832,11.2726598802905,13.8426133584687,14.6807953855985,26.8507689994948,29.8459863528365,33.1418081100874,27.1502144642323,30.6246253739041,29.1983751775071,34.9245626717277,31.1195686453875,32.0329663159613,37.2283809685281,34.9785674175452,38.7317002145722,35.2699039982186
"Atenco North",6.30737221280327,15.0495406165829,13.2310454812629,10.5431675248746,8.8855018126494,7.96542773305172,5.72458192972987,8.11571620417281,3.40601883706905,3.39424390427268,18.6428782585335,9.73982044401691,13.8185794836037,11.1729406452977,14.9750316759901,12.2493761680354,8.72229742559408,10.7529174696428,14.5131651196045,17.8807895587714,19.432271566756,11.6207654403394,4.32386846242889,0,3.99408200109805,7.00348994844435,6.91714657279848,16.4814146799365,15.106204733181,20.9033621306648,10.3653593103252,10.9475915878447,8.9090820650714,13.2444765722266,21.6717088739138,25.499954735823,20.0245614248192,23.9618219298322,21.8259772471639,31.633697621325,25.7282942330434,32.6766219847242,17.2974058779771,22.6709520558846,16.8878862921723,15.7288538154364,15.1924170696491,12.8487589799566,15.0215935137867,17.2678767174326,18.6194825242991,26.8839891232932,30.0892297318817,33.4687238214613,26.7500096939565,29.816280005732,28.0324572864528,33.6399781742499,29.4991113480568,30.0034511529283,36.2783805982523,34.8137271870807,38.2231036784627,33.4742376897558
"Xalmimilolco",7.69772575999117,14.699325663038,13.1167744072278,10.1196906948978,7.71013642688764,8.10552948938727,5.60104214910981,7.68058513038672,6.70212578177575,4.57641285747799,18.0376749320808,10.3641152918135,12.6510127143728,10.1627582232466,14.2764610299721,8.35763025070252,5.10549740895758,7.99673158506995,12.4035883825785,16.6534150249201,17.453856819676,9.74406594126896,3.2381089843113,3.99408200109805,0,4.61505566583187,10.0749297074156,16.5584667940179,15.5244585869934,20.7095018677441,11.5091857700994,14.0052207864074,11.0253079011657,13.3351985985488,18.4884198454208,22.6627213616315,17.1227101492915,20.7028912395255,18.082811839968,28.45162793824,22.1774377468917,29.0812359039544,14.9064533926754,20.2242281658463,13.629281361793,12.718882710316,12.3875003552913,9.44712655517936,11.3550151786589,13.3987646936741,15.0638151348044,29.6365301304171,32.7131669128246,36.0432712689923,29.7666144964525,33.0677681040574,31.4586563481228,37.1337114752091,33.1290671889664,33.7845575471401,39.6159880297886,37.7089064066185,41.3271012141631,37.1791585395022
"Atlicholoayan",6.21537556287989,10.5364302163298,9.18202220895477,6.18287900196559,3.48141665824483,5.07030910026089,3.42573949188301,4.14994808398701,7.8425680569488,4.77672184888624,13.6660268934222,7.35951424430184,8.14898000831347,5.8181340374937,9.93536604741941,6.89292767011517,3.1958141176728,3.75042218480844,7.8244391253985,12.0886290121037,12.8674226526448,5.12948164080362,2.76199716710821,7.00348994844435,4.61505566583187,0,10.2139415156852,12.6073474791252,11.8696432979568,16.4986278462155,8.87769229265022,13.5005494466279,9.58811514405905,9.54199784081162,14.7043719221519,18.5084109177138,13.0218473722083,17.01565038655,15.4395845154237,24.6488699440716,18.9886552640924,25.9510192215309,10.4407310337182,15.8053905885949,9.98451062022888,8.73813384163427,8.19138238176383,6.17558576933289,8.66974748030522,11.3954179819072,11.9674276986592,28.007537903198,30.8492424446679,34.0662259603013,28.5435351590639,32.2012551226856,30.9649272356548,36.7125972271471,33.0876730962667,34.1773981871438,38.8364201459952,36.1757481919971,40.0975750965814,37.296906685237
